Name,Height (meters),Height (feet),Latitude,Longitude
Laila Peak (Hushe Valley),6096.0,20000,35.591222,76.405417
Pisang Peak,6091.0,19984,28.646603,84.185931
Huayna Potosí,6088.0,19974,-16.2625,-68.15375
Aracar,6082.0,19954,-24.29,-67.783333
Chachacomani,6074.0,19928,-15.987222,-68.383056
Chachani,6057.0,19872,-16.183333,-71.516667
Mianzimu,6054.0,19862,-16.183333,-71.516667
Acotango,6052.0,19856,-18.382222,-69.047778
Socompa,6051.0,19852,-24.3959,-68.245997
Mingli Sar,6050.0,19849,36.478258,75.695325
Acamarachi,6046.0,19836,-23.3,-67.616667
Shayaz,6026.0,19770,36.648333,72.828333
Hualca Hualca,6025.0,19767,-15.720597,-71.8555
Uturuncu,6020.0,19751,-22.27,-67.18
"Mitre Peak, Pakistan",6010.0,19718,35.7,76.48
Laila Peak (Rupal Valley),5971.0,19590,35.106619,74.462883
Mount Logan,5959.0,19551,60.567222,-140.405278
Alpamayo,5947.0,19511,-8.879167,-77.653667
Cerro Lípez,5929.0,19452,-21.914167,-66.884722
Licancabur,5920.0,19423,-22.833889,-67.883611
Falak Sar (Swat),5918.0,19416,35.682778,72.785278
Cotopaxi,5897.0,19347,-0.680556,-78.437778
Mount Kilimanjaro,5895.0,19341,-3.075833,37.353333
Hkakabo Razi,5881.0,19295,28.328333,97.535556
San José ,5856.0,19213,-33.786417,-69.898667
Misti,5822.0,19101,-16.294444,-71.408889
Altyn-Tagh,5798.0,19022,37.916667,87.383333
Cayambe ,5790.0,18996,0.025,-77.988889
Pico Cristóbal Colón,5776.0,18950,10.838333,-73.686667
Antisana,5753.0,18875,-0.481389,-78.140833
Pisco ,5752.0,18871,-9.011833,-77.631139
Nevado Anallajsi,5750.0,18865,-17.916667,-68.916667
Pokalde,5745.0,18848,27.925,86.833333
Ubinas,5672.0,18609,-16.348611,-70.902222
Pichu Pichu,5664.0,18583,-16.441139,-71.240389
Mount Elbrus,5642.0,18510,43.355,42.439167
Mehrbani Peak,5639.0,18501,36.197778,74.084722
Pico de Orizaba,5636.0,18491,19.03,-97.27
Mount Damavand,5610.0,18406,35.955556,52.11
Mismi,5597.0,18363,-15.525278,-71.690833
Jade Dragon Snow ,5596.0,18360,27.098333,100.175
Lascar ,5592.0,18346,-23.366667,-67.733333
Mount Xuebaoding,5588.0,18333,32.675833,103.846667
Kala Patthar,5545.0,18192,27.995833,86.828417
Mount Saint Elias,5489.0,18009,60.292222,-140.931389
Concord Peak,5469.0,17943,37.333,73.766
Dindaw Razi,5464.0,17927,37.333,73.766
Machoi Peak,5458.0,17907,34.228333,75.586111
Cerro El Plomo,5450.0,17881,-33.232778,-70.212222
Bogda Peak,5445.0,17864,43.801667,88.3325
Mount Little Xuebaoding,5443.0,17858,32.641389,103.887778
Cerro El Plomo,5434.0,17828,-33.232778,-70.212222
Popocatépetl,5426.0,17802,19.022222,-98.627778
Kolahoi Peak,5425.0,17799,34.164444,75.326944
Chacaltaya,5421.0,17785,-16.353333,-68.131389
Ritacuba Blanco,5410.0,17749,6.494167,-72.2975
Haba Snow ,5396.0,17703,27.318333,100.1
Nevado del Ruiz,5389.0,17680,4.895278,-75.3225
Nevado del Huila,5364.0,17598,2.93,-76.03
El Altar,5320.0,17454,-1.663333,-78.409167
Mount Foraker,5304.0,17402,62.960833,-151.398056
Harmukh,5300.0,17388,34.4,74.908333
Nevado del Tolima,5276.0,17310,4.658333,-75.329444
Maipo ,5264.0,17270,-34.161,-69.833
Illiniza,5248.0,17218,-0.659444,-78.713611
Point 5240,5240.0,17192,-0.659444,-78.713611
Sirbal Peak,5236.0,17178,34.315278,75.395556
Sangay,5230.0,17159,-2.0025,-78.340833
Iztaccihuatl,5230.0,17159,19.178889,-98.641667
Mount Lucania,5226.0,17146,61.023333,-140.465556
Karakol Peak,5216.0,17113,42.168611,78.471944
Dykh-Tau,5205.0,17077,43.05,43.133333
Shkhara,5201.0,17064,43.000556,43.112222
Mount Kenya,5199.0,17057,-0.150833,37.3075
Malika Parbat,5190.0,17028,34.805903,73.724328
Amarnath Peak,5186.0,17014,34.225,75.491667
Laram Q'awa (Charaña),5182.0,17001,-18.019167,-69.1425
King Peak (Yukon),5173.0,16972,60.583056,-140.653889
Boris Yeltsin Peak,5168.0,16955,42.153056,78.436667
Koshtan-Tau,5150.0,16896,43.05,43.2167
Mount Ararat,5137.0,16854,39.701883,44.298317
Mount Stanley,5109.0,16762,0.385833,29.871667
Mount Steele,5073.0,16644,61.093056,-140.310556
Janga ,5051.0,16572,43.018056,43.058056
Mount Kazbek,5047.0,16558,42.699167,44.518333
Tungurahua,5023.0,16480,-1.47,-78.4447
Carihuairazo,5018.0,16463,-1.406944,-78.75
Mount Bona,5005.0,16421,61.385556,-141.748611
Mount Blackburn,4996.0,16391,61.731667,-143.433056
Pico Bolívar,4981.0,16342,8.541667,-71.045833
Pik Talgar,4979.0,16335,43.118333,77.340833
Shota Rustaveli Peak,4960.0,16273,43.008517,43.073773
Mount Sanford (Alaska),4949.0,16237,62.213889,-144.128889
Pico Humboldt,4940.0,16207,8.549661,-70.996142
Bhaba Pass,4930.0,16175,31.787,77.996
Vinson Massif,4892.0,16050,-78.525483,-85.617147
Pico Bonpland,4890.0,16043,8.533333,-71
Puncak Jaya,4884.0,16024,-4.078889,137.158333
Pico La Concha,4870.0,15978,8.541944,-71.024722
Gistola,4860.0,15945,43.047556,43.026
Tetnuldi,4858.0,15938,43.03113,42.99319
Mount Tyree,4852.0,15919,-78.411667,-85.861944
Huaynaputina,4850.0,15912,-16.615556,-70.849722
Alam-Kuh,4850.0,15912,36.375736,50.961475
Mount Wood (Yukon),4842.0,15886,61.232778,-140.5125
Mount Vancouver,4812.0,15787,60.358918,-139.698032
Sabalan,4811.0,15784,38.266944,47.836944
Mont Blanc,4810.0,15781,45.833333,6.867222
Corazón ,4790.0,15715,-0.533333,-78.666667
Pichincha ,4784.0,15696,-0.171,-78.598
Mount Dzhimara,4780.0,15682,42.720833,44.413889
Mount Churchill,4766.0,15636,61.419444,-141.714722
Puncak Mandala,4760.0,15617,-4.708611,140.289167
Klyuchevskaya Sopka,4750.0,15584,56.056044,160.644089
Puncak Trikora,4750.0,15584,-4.262222,138.681667
